YEAR,Car_Age,MILEAGE,CAR_PRICE
2023,0,5,29972
2019,4,42625,23995
2016,7,96065,15588
2018,5,59912,15500
2011,12,98000,11900
2021,2,7152,32455
2010,13,200849,6900
2020,3,89542,20950
2014,9,110121,14495
2022,1,8074,34499
2013,10,142950,12250
2007,16,166690,7600
2017,6,99000,16000
2009,14,76473,9900
